[2023-05-31 15:48:56,270][__main__][INFO] - Epoch: 0, kld loss: 0.04341813921928406, nll loss: 5.901135444641113, loss: 5.944553375244141, time: 1.2047150135040283s
[2023-05-31 15:48:58,398][__main__][INFO] - Epoch: 20, kld loss: 0.10402964800596237, nll loss: 5.314286231994629, loss: 5.418315887451172, time: 0.39199399948120117s
[2023-05-31 15:49:00,356][__main__][INFO] - Epoch: 40, kld loss: 0.06829650700092316, nll loss: 5.1939778327941895, loss: 5.262274265289307, time: 0.4806332588195801s
[2023-05-31 15:49:02,402][__main__][INFO] - Epoch: 60, kld loss: 0.06045766919851303, nll loss: 5.146847248077393, loss: 5.207304954528809, time: 0.3920459747314453s
[2023-05-31 15:49:04,461][__main__][INFO] - Epoch: 80, kld loss: 0.062084682285785675, nll loss: 5.110384464263916, loss: 5.172469139099121, time: 0.47369956970214844s
[2023-05-31 15:49:06,567][__main__][INFO] - Epoch: 100, kld loss: 0.05991687253117561, nll loss: 5.098517417907715, loss: 5.1584343910217285, time: 0.37555480003356934s
[2023-05-31 15:49:08,547][__main__][INFO] - Epoch: 120, kld loss: 0.059200119227170944, nll loss: 5.108307361602783, loss: 5.167507648468018, time: 0.42647361755371094s
[2023-05-31 15:49:10,461][__main__][INFO] - Epoch: 140, kld loss: 0.061277300119400024, nll loss: 5.085200786590576, loss: 5.146478176116943, time: 0.38829636573791504s
[2023-05-31 15:49:12,241][__main__][INFO] - Epoch: 160, kld loss: 0.05877929553389549, nll loss: 5.085343837738037, loss: 5.144123077392578, time: 0.4157273769378662s
[2023-05-31 15:49:14,155][__main__][INFO] - Epoch: 180, kld loss: 0.0580928735435009, nll loss: 5.073050022125244, loss: 5.131143093109131, time: 0.3816542625427246s
[2023-05-31 15:49:15,885][__main__][INFO] - Epoch: 200, kld loss: 0.059169817715883255, nll loss: 5.0754828453063965, loss: 5.134652614593506, time: 0.4199492931365967s
[2023-05-31 15:49:17,609][__main__][INFO] - Epoch: 220, kld loss: 0.057098884135484695, nll loss: 5.064206123352051, loss: 5.121304988861084, time: 0.38341784477233887s
[2023-05-31 15:49:19,684][__main__][INFO] - Epoch: 240, kld loss: 0.059461046010255814, nll loss: 5.04701566696167, loss: 5.106476783752441, time: 0.38380861282348633s
[2023-05-31 15:49:21,288][__main__][INFO] - Epoch: 260, kld loss: 0.07071402668952942, nll loss: 5.012333869934082, loss: 5.083047866821289, time: 0.38645434379577637s
[2023-05-31 15:49:23,192][__main__][INFO] - Epoch: 280, kld loss: 0.054396454244852066, nll loss: 4.997199058532715, loss: 5.051595687866211, time: 0.38979029655456543s
[2023-05-31 15:49:24,912][__main__][INFO] - Epoch: 300, kld loss: 0.05717429146170616, nll loss: 4.975894927978516, loss: 5.033069133758545, time: 0.41912388801574707s
[2023-05-31 15:49:26,592][__main__][INFO] - Epoch: 320, kld loss: 0.05515079200267792, nll loss: 4.967551231384277, loss: 5.022702217102051, time: 0.3861863613128662s
[2023-05-31 15:49:28,502][__main__][INFO] - Epoch: 340, kld loss: 0.05693800747394562, nll loss: 4.964326858520508, loss: 5.021265029907227, time: 0.4172327518463135s
[2023-05-31 15:49:30,211][__main__][INFO] - Epoch: 360, kld loss: 0.05629805102944374, nll loss: 4.956286430358887, loss: 5.012584686279297, time: 0.38680243492126465s
[2023-05-31 15:49:32,372][__main__][INFO] - Epoch: 380, kld loss: 0.054203979671001434, nll loss: 4.953601360321045, loss: 5.007805347442627, time: 0.3897731304168701s
[2023-05-31 15:49:34,046][__main__][INFO] - Epoch: 400, kld loss: 0.055982887744903564, nll loss: 4.962316513061523, loss: 5.018299579620361, time: 0.40665292739868164s
[2023-05-31 15:49:36,307][__main__][INFO] - Epoch: 420, kld loss: 0.055307142436504364, nll loss: 4.941967010498047, loss: 4.997273921966553, time: 0.37770938873291016s
[2023-05-31 15:49:37,958][__main__][INFO] - Epoch: 440, kld loss: 0.04401309788227081, nll loss: 4.943976402282715, loss: 4.98798942565918, time: 0.3792452812194824s
[2023-05-31 15:49:40,133][__main__][INFO] - Epoch: 460, kld loss: 0.0534663163125515, nll loss: 4.940371513366699, loss: 4.993837833404541, time: 0.4368619918823242s
[2023-05-31 15:49:41,806][__main__][INFO] - Epoch: 480, kld loss: 0.05116793513298035, nll loss: 4.945624828338623, loss: 4.996792793273926, time: 0.3832240104675293s
[2023-05-31 15:49:43,863][__main__][INFO] - Epoch: 500, kld loss: 0.048848044127225876, nll loss: 4.941179275512695, loss: 4.99002742767334, time: 0.42386579513549805s
[2023-05-31 15:49:45,670][__main__][INFO] - Epoch: 520, kld loss: 0.053354594856500626, nll loss: 4.939352512359619, loss: 4.992707252502441, time: 0.3817615509033203s
[2023-05-31 15:49:47,556][__main__][INFO] - Epoch: 540, kld loss: 0.052151136100292206, nll loss: 4.934839248657227, loss: 4.986990451812744, time: 0.45909810066223145s
[2023-05-31 15:49:49,297][__main__][INFO] - Epoch: 560, kld loss: 0.054850198328495026, nll loss: 4.938135623931885, loss: 4.992985725402832, time: 0.38210511207580566s
[2023-05-31 15:49:51,150][__main__][INFO] - Epoch: 580, kld loss: 0.0485527366399765, nll loss: 4.936587333679199, loss: 4.985139846801758, time: 0.39153265953063965s
[2023-05-31 15:49:52,985][__main__][INFO] - Epoch: 600, kld loss: 0.05384443700313568, nll loss: 4.934378623962402, loss: 4.988223075866699, time: 0.3892507553100586s
[2023-05-31 15:49:54,825][__main__][INFO] - Epoch: 620, kld loss: 0.05013784393668175, nll loss: 4.931066036224365, loss: 4.981204032897949, time: 0.3902742862701416s
[2023-05-31 15:49:56,778][__main__][INFO] - Epoch: 640, kld loss: 0.05687457323074341, nll loss: 4.938180923461914, loss: 4.995055675506592, time: 0.3911409378051758s
[2023-05-31 15:49:58,693][__main__][INFO] - Epoch: 660, kld loss: 0.05341414734721184, nll loss: 4.92619514465332, loss: 4.979609489440918, time: 0.38716697692871094s
[2023-05-31 15:50:00,730][__main__][INFO] - Epoch: 680, kld loss: 0.052454058080911636, nll loss: 4.93679141998291, loss: 4.989245414733887, time: 0.48262524604797363s
[2023-05-31 15:50:02,444][__main__][INFO] - Epoch: 700, kld loss: 0.05697981268167496, nll loss: 4.938865661621094, loss: 4.995845317840576, time: 0.3939356803894043s
[2023-05-31 15:50:04,505][__main__][INFO] - Epoch: 720, kld loss: 0.053134605288505554, nll loss: 4.935793876647949, loss: 4.988928318023682, time: 0.46917057037353516s
[2023-05-31 15:50:06,196][__main__][INFO] - Epoch: 740, kld loss: 0.05182884261012077, nll loss: 4.931633472442627, loss: 4.983462333679199, time: 0.3904705047607422s
[2023-05-31 15:50:08,178][__main__][INFO] - Epoch: 760, kld loss: 0.04412410035729408, nll loss: 4.926644325256348, loss: 4.970768451690674, time: 0.4043738842010498s
[2023-05-31 15:50:09,892][__main__][INFO] - Epoch: 780, kld loss: 0.05239599943161011, nll loss: 4.9232048988342285, loss: 4.975600719451904, time: 0.39910292625427246s
[2023-05-31 15:50:12,143][__main__][INFO] - Epoch: 800, kld loss: 0.05642296373844147, nll loss: 4.929534435272217, loss: 4.985957622528076, time: 0.48148036003112793s
[2023-05-31 15:50:13,816][__main__][INFO] - Epoch: 820, kld loss: 0.060687433928251266, nll loss: 4.929851531982422, loss: 4.990539073944092, time: 0.37979912757873535s
[2023-05-31 15:50:15,857][__main__][INFO] - Epoch: 840, kld loss: 0.0699969008564949, nll loss: 4.945712089538574, loss: 5.015708923339844, time: 0.4386317729949951s
