[2023-05-31 15:34:42,189][__main__][INFO] - Epoch: 0, kld loss: 0.04555485397577286, nll loss: 8.318901062011719, loss: 8.364456176757812, time: 1.301621913909912s
[2023-05-31 15:34:44,915][__main__][INFO] - Epoch: 20, kld loss: 0.3647841215133667, nll loss: 4.1836256980896, loss: 4.548409938812256, time: 0.43680715560913086s
[2023-05-31 15:34:47,883][__main__][INFO] - Epoch: 40, kld loss: 0.26545286178588867, nll loss: 3.7790043354034424, loss: 4.04445743560791, time: 0.4279811382293701s
[2023-05-31 15:34:50,681][__main__][INFO] - Epoch: 60, kld loss: 0.22700685262680054, nll loss: 3.5999650955200195, loss: 3.826972007751465, time: 0.44136667251586914s
[2023-05-31 15:34:53,306][__main__][INFO] - Epoch: 80, kld loss: 0.2084755301475525, nll loss: 3.505065679550171, loss: 3.713541269302368, time: 0.4574456214904785s
[2023-05-31 15:34:56,007][__main__][INFO] - Epoch: 100, kld loss: 0.20053859055042267, nll loss: 3.4522154331207275, loss: 3.652754068374634, time: 0.415264368057251s
[2023-05-31 15:34:58,803][__main__][INFO] - Epoch: 120, kld loss: 0.19328910112380981, nll loss: 3.418750762939453, loss: 3.612039804458618, time: 0.4582812786102295s
[2023-05-31 15:35:01,451][__main__][INFO] - Epoch: 140, kld loss: 0.19391204416751862, nll loss: 3.382061004638672, loss: 3.5759730339050293, time: 0.47921013832092285s
[2023-05-31 15:35:04,252][__main__][INFO] - Epoch: 160, kld loss: 0.1831236481666565, nll loss: 3.3666207790374756, loss: 3.5497443675994873, time: 0.5134844779968262s
[2023-05-31 15:35:07,244][__main__][INFO] - Epoch: 180, kld loss: 0.18310247361660004, nll loss: 3.351844072341919, loss: 3.5349464416503906, time: 0.45497941970825195s
[2023-05-31 15:35:10,431][__main__][INFO] - Epoch: 200, kld loss: 0.18191133439540863, nll loss: 3.320378065109253, loss: 3.502289295196533, time: 0.6866395473480225s
[2023-05-31 15:35:13,354][__main__][INFO] - Epoch: 220, kld loss: 0.18077880144119263, nll loss: 3.3158583641052246, loss: 3.4966371059417725, time: 0.5338618755340576s
[2023-05-31 15:35:15,874][__main__][INFO] - Epoch: 240, kld loss: 0.17265431582927704, nll loss: 3.31540584564209, loss: 3.488060235977173, time: 0.4564549922943115s
[2023-05-31 15:35:18,736][__main__][INFO] - Epoch: 260, kld loss: 0.17102156579494476, nll loss: 3.300751209259033, loss: 3.4717726707458496, time: 0.43741655349731445s
[2023-05-31 15:35:21,491][__main__][INFO] - Epoch: 280, kld loss: 0.1702931821346283, nll loss: 3.2934842109680176, loss: 3.4637773036956787, time: 0.42922067642211914s
[2023-05-31 15:35:24,295][__main__][INFO] - Epoch: 300, kld loss: 0.1662379503250122, nll loss: 3.2871079444885254, loss: 3.453345775604248, time: 0.42805910110473633s
[2023-05-31 15:35:27,148][__main__][INFO] - Epoch: 320, kld loss: 0.1632789522409439, nll loss: 3.281482696533203, loss: 3.4447617530822754, time: 0.4333786964416504s
[2023-05-31 15:35:29,857][__main__][INFO] - Epoch: 340, kld loss: 0.162599116563797, nll loss: 3.286437749862671, loss: 3.4490368366241455, time: 0.4850587844848633s
[2023-05-31 15:35:32,971][__main__][INFO] - Epoch: 360, kld loss: 0.15943525731563568, nll loss: 3.27622127532959, loss: 3.4356565475463867, time: 0.42693090438842773s
[2023-05-31 15:35:35,851][__main__][INFO] - Epoch: 380, kld loss: 0.16043899953365326, nll loss: 3.2774035930633545, loss: 3.437842607498169, time: 0.4351835250854492s
[2023-05-31 15:35:38,558][__main__][INFO] - Epoch: 400, kld loss: 0.15628862380981445, nll loss: 3.2701730728149414, loss: 3.426461696624756, time: 0.4455277919769287s
[2023-05-31 15:35:41,551][__main__][INFO] - Epoch: 420, kld loss: 0.16288016736507416, nll loss: 3.2680699825286865, loss: 3.430950164794922, time: 0.38947510719299316s
[2023-05-31 15:35:44,228][__main__][INFO] - Epoch: 440, kld loss: 0.15605568885803223, nll loss: 3.2659687995910645, loss: 3.4220244884490967, time: 0.4093594551086426s
[2023-05-31 15:35:46,995][__main__][INFO] - Epoch: 460, kld loss: 0.15416063368320465, nll loss: 3.264279842376709, loss: 3.418440580368042, time: 0.39272022247314453s
[2023-05-31 15:35:50,124][__main__][INFO] - Epoch: 480, kld loss: 0.1550104171037674, nll loss: 3.2516143321990967, loss: 3.4066247940063477, time: 0.4062156677246094s
[2023-05-31 15:35:52,722][__main__][INFO] - Epoch: 500, kld loss: 0.15564945340156555, nll loss: 3.2559263706207275, loss: 3.4115757942199707, time: 0.4148576259613037s
[2023-05-31 15:35:55,830][__main__][INFO] - Epoch: 520, kld loss: 0.149385467171669, nll loss: 3.2535290718078613, loss: 3.402914524078369, time: 0.45638608932495117s
[2023-05-31 15:35:59,276][__main__][INFO] - Epoch: 540, kld loss: 0.15356825292110443, nll loss: 3.253598928451538, loss: 3.4071671962738037, time: 0.554147481918335s
[2023-05-31 15:36:02,166][__main__][INFO] - Epoch: 560, kld loss: 0.14959846436977386, nll loss: 3.2578682899475098, loss: 3.4074666500091553, time: 0.4532945156097412s
[2023-05-31 15:36:05,234][__main__][INFO] - Epoch: 580, kld loss: 0.1494038999080658, nll loss: 3.2427492141723633, loss: 3.392153024673462, time: 0.44265174865722656s
[2023-05-31 15:36:08,588][__main__][INFO] - Epoch: 600, kld loss: 0.14695602655410767, nll loss: 3.242783308029175, loss: 3.3897392749786377, time: 0.4418766498565674s
[2023-05-31 15:36:11,812][__main__][INFO] - Epoch: 620, kld loss: 0.1453893780708313, nll loss: 3.244533061981201, loss: 3.3899223804473877, time: 0.6165204048156738s
[2023-05-31 15:36:14,678][__main__][INFO] - Epoch: 640, kld loss: 0.14740031957626343, nll loss: 3.2369420528411865, loss: 3.3843424320220947, time: 0.45984840393066406s
[2023-05-31 15:36:17,944][__main__][INFO] - Epoch: 660, kld loss: 0.14744003117084503, nll loss: 3.2377371788024902, loss: 3.3851771354675293, time: 0.44568443298339844s
[2023-05-31 15:36:21,300][__main__][INFO] - Epoch: 680, kld loss: 0.14467009902000427, nll loss: 3.233464241027832, loss: 3.378134250640869, time: 0.4317586421966553s
[2023-05-31 15:36:24,239][__main__][INFO] - Epoch: 700, kld loss: 0.1450112760066986, nll loss: 3.245234966278076, loss: 3.3902461528778076, time: 0.5863769054412842s
[2023-05-31 15:36:27,045][__main__][INFO] - Epoch: 720, kld loss: 0.14073283970355988, nll loss: 3.236220598220825, loss: 3.376953363418579, time: 0.4176511764526367s
[2023-05-31 15:36:30,167][__main__][INFO] - Epoch: 740, kld loss: 0.144069641828537, nll loss: 3.233490228652954, loss: 3.3775599002838135, time: 0.5185589790344238s
[2023-05-31 15:36:32,784][__main__][INFO] - Epoch: 760, kld loss: 0.13847310841083527, nll loss: 3.2387800216674805, loss: 3.3772530555725098, time: 0.478391170501709s
[2023-05-31 15:36:35,438][__main__][INFO] - Epoch: 780, kld loss: 0.1396607756614685, nll loss: 3.2250185012817383, loss: 3.3646793365478516, time: 0.46172380447387695s
[2023-05-31 15:36:38,496][__main__][INFO] - Epoch: 800, kld loss: 0.14202143251895905, nll loss: 3.231884241104126, loss: 3.373905658721924, time: 0.4716379642486572s
[2023-05-31 15:36:41,362][__main__][INFO] - Epoch: 820, kld loss: 0.13823455572128296, nll loss: 3.22265362739563, loss: 3.3608882427215576, time: 0.45190000534057617s
[2023-05-31 15:36:44,658][__main__][INFO] - Epoch: 840, kld loss: 0.13858604431152344, nll loss: 3.2335405349731445, loss: 3.372126579284668, time: 0.4241676330566406s
[2023-05-31 15:36:48,033][__main__][INFO] - Epoch: 860, kld loss: 0.13844624161720276, nll loss: 3.225604772567749, loss: 3.364051103591919, time: 0.41309237480163574s
[2023-05-31 15:36:50,908][__main__][INFO] - Epoch: 880, kld loss: 0.13519379496574402, nll loss: 3.2288146018981934, loss: 3.3640084266662598, time: 0.5911202430725098s
[2023-05-31 15:36:53,605][__main__][INFO] - Epoch: 900, kld loss: 0.13566447794437408, nll loss: 3.229027032852173, loss: 3.3646914958953857, time: 0.4140927791595459s
[2023-05-31 15:36:56,640][__main__][INFO] - Epoch: 920, kld loss: 0.1356835961341858, nll loss: 3.2248291969299316, loss: 3.3605127334594727, time: 0.4035067558288574s
[2023-05-31 15:36:58,802][__main__][INFO] - Epoch: 940, kld loss: 0.13841894268989563, nll loss: 3.216958522796631, loss: 3.355377435684204, time: 0.4246344566345215s
[2023-05-31 15:37:01,119][__main__][INFO] - Epoch: 960, kld loss: 0.13639257848262787, nll loss: 3.220736503601074, loss: 3.3571290969848633, time: 0.40275025367736816s
[2023-05-31 15:37:03,749][__main__][INFO] - Epoch: 980, kld loss: 0.1318822205066681, nll loss: 3.225299835205078, loss: 3.357182025909424, time: 0.43064212799072266s
